Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF,50V","0805",28.350000,-35.050000,90.000000,top
"C2","10uF","0402C_BIG",22.275000,-25.075000,90.000000,top
"C3","10uF","0402C_BIG",21.175000,-25.075000,90.000000,top
"C4","1nF","0402",37.650000,-24.000000,90.000000,top
"C5","4.7uF,50V","0805",24.875000,-26.675000,180.000000,top
"C6","100nF","0402",27.650000,-27.750000,0.000000,top
"C7","2.2nF","0402",36.725000,-7.350000,0.000000,top
"C8","100nF","0402",35.400000,-20.375000,-90.000000,top
"C9","1uF","0402",29.900000,-20.375000,-90.000000,top
"C10","100nF","0402",27.450000,-26.050000,0.000000,top
"C11","47nF","0402",30.950000,-30.725000,-90.000000,top
"C12","1uF","0402",32.025000,-30.725000,-90.000000,top
"C13","1nF","0402",35.900000,-30.275000,180.000000,top
"C14","1nF","0402",37.650000,-28.375000,-90.000000,top
"C15","220uF,50V","CP_Elec_10x10",12.700000,-22.525000,90.000000,top
"C16","1uF","0402C_BIG",19.750000,-12.075000,180.000000,top
"C17","220uF,50V","CP_Elec_10x10",19.000000,-33.625000,0.000000,top
"C18","2.2nF","0402",36.725000,-8.400000,0.000000,top
"C19","100nF","0402",32.950000,-30.725000,90.000000,top
"C20","10nF","0402",44.250000,-23.625000,180.000000,top
"C21","2.2nF","0402",36.725000,-9.450000,0.000000,top
"C22","4.7uF,50V","0805",32.175000,-32.875000,0.000000,top
"C23","100nF","0402",17.675000,-12.050000,0.000000,top
"C24","4.7uF,50V","0805",40.750000,-36.750000,90.000000,top
"C25","10nF","0402",48.750000,-39.000000,0.000000,top
"C26","220uF,50V","CP_Elec_10x10",46.700000,-8.982500,90.000000,top
"C27","100nF","0402",36.725000,-6.400000,0.000000,top
"C41","18pF","0402",37.275000,-15.100000,180.000000,top
"C42","18pF","0402",39.275000,-12.800000,90.000000,top
"C48","100nF","0402",34.850000,-14.475000,0.000000,top
"C49","100nF","0402",26.550000,-12.675000,-90.000000,top
"C50","100nF","0402",29.100000,-4.500000,90.000000,top
"C51","10uF","0402C_BIG",28.075000,-19.100000,180.000000,top
"C52","100nF","0402",30.075000,-4.500000,90.000000,top
"C53","1uF","0402",27.150000,-4.500000,-90.000000,top
"C56","100nF","0402",32.600000,-4.500000,90.000000,top
"C57","100nF","0402",10.850000,-15.575000,0.000000,top
"C59","10uF","0402C_BIG",20.075000,-25.075000,90.000000,top
"C60","100nF","0402",19.649999,-18.475000,180.000000,top
"C61","10uF","0402C_BIG",19.749999,-13.400000,180.000000,top
"D2","SS34","D_SOD-123F",24.950000,-23.475000,-90.000000,top
"D3","GREEN","0402D",8.200000,-2.625000,0.000000,top
"D4","RED","0402D",8.200000,-3.625000,0.000000,top
"D7","SMAJ26A","SMA",9.675000,-36.450000,180.000000,top
"F1","7A","1206R",9.325000,-33.425000,180.000000,top
"J1","MOTOR","CONN_5268-03A_1x03_P2.50mm_H",55.000000,-29.875000,90.000000,top
"J2","CON","CONN_5268-04A_1x04_P2.50mm_H",5.000000,-22.725000,-90.000000,top
"J4","DBG","PAD_DIP_4P_1mm",27.515000,-16.325000,90.000000,top
"J5","CON","CONN_5268-04A_1x04_P2.50mm_H",5.000000,-9.800000,-90.000000,top
"J6","SENSOR","CONN_SH1.0mm_10P_HSMD",59.775000,-12.700000,90.000000,top
"L1","22uH","L_Taiyo-Yuden_MD-4040",21.475000,-21.625000,0.000000,top
"L2","DLM11SN900HY2","L_CommonModeChoke_Coilcraft_0603USB",8.250000,-14.950000,135.000000,top
"Q1","BSZ105N04NSG","PG-TSDSON-8_3x3mm",47.750000,-21.750000,180.000000,top
"Q2","BSZ105N04NSG","PG-TSDSON-8_3x3mm",47.750000,-18.000000,0.000000,top
"Q3","BSZ105N04NSG","PG-TSDSON-8_3x3mm",47.750000,-25.500000,180.000000,top
"Q4","BSZ105N04NSG","PG-TSDSON-8_3x3mm",47.750000,-29.250000,0.000000,top
"Q5","BSZ105N04NSG","PG-TSDSON-8_3x3mm",47.750000,-36.750000,180.000000,top
"Q6","BSZ105N04NSG","PG-TSDSON-8_3x3mm",47.750000,-33.000000,0.000000,top
"R1","62K,1%","0402",27.650000,-30.275000,180.000000,top
"R2","10K,1%","0402",29.475000,-30.275000,0.000000,top
"R3","4.7K","0402",34.100000,-18.225000,0.000000,top
"R4","1K","0402",11.825000,-11.325000,0.000000,top
"R6","1K","0402",34.350000,-15.850000,-90.000000,top
"R7","1K","0402",35.350000,-15.850000,-90.000000,top
"R8","22R","0402",52.975000,-9.200000,180.000000,top
"R9","100K","0402",27.650000,-28.675000,180.000000,top
"R10","22R","0402",52.975000,-10.200000,180.000000,top
"R11","1K","0402",37.425000,-20.375000,-90.000000,top
"R12","1K","0402",36.525000,-20.375000,-90.000000,top
"R13","22R","0402",52.975000,-12.200000,180.000000,top
"R14","22R","0402",52.975000,-13.150000,180.000000,top
"R15","0.02R,1%","1206R",43.997000,-27.475000,90.000000,top
"R16","22R","0402",52.975000,-14.200000,180.000000,top
"R17","22R","0402",52.975000,-15.200000,180.000000,top
"R18","0.02R,1%","1206R",44.000000,-19.500000,90.000000,top
"R19","0.02R,1%","1206R",44.000000,-34.500000,-90.000000,top
"R20","1K","0402",38.325000,-20.375000,-90.000000,top
"R21","0R","0402",28.125000,-4.500000,90.000000,top
"R22","10K,1%","0402",25.750000,-4.500000,-90.000000,top
"R23","4.7K","0402",10.100000,-2.625000,180.000000,top
"R24","22R","0402",52.975000,-11.200000,180.000000,top
"R26","2K","0402",10.100000,-3.625000,180.000000,top
"R28","75K,1%","0402",35.775000,-4.000000,0.000000,top
"R29","4.7K,1%","0402",33.975000,-4.000000,0.000000,top
"U1","DRV8323RS","QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm",32.875000,-25.500000,90.000000,top
"U2","STM32G431CBUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",31.350000,-9.650000,180.000000,top
"U3","CDCTL01A","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",19.037500,-9.375000,90.000000,top
"U5","SN65HVD75","SON-8",11.825000,-13.450000,180.000000,top
"U6","NCP4625DSN33T1G","SOT-23-5",20.100000,-15.955000,90.000000,top
"Y1","12M,12p","XTAL-3225",37.275000,-12.800000,180.000000,top
